data_id,mid,display,correct_mid,done_by
coordinador auxiliar administrativo,administrative coordinator,coordinador auxiliar administrativo,,
jefe administrativo ute,administrative coordinator,jefe administrativo ute,,
director administrativo,administrative director,director administrativo,,
administrativo entidad financiera,administrative financial manager,administrativo entidad financiera,,
administrativo financiero,administrative financial manager,administrativo financiero,,
departamento administrativo financiero,administrative financial manager,departamento administrativo financiero,,
gerente administrativo financiero,administrative financial manager,gerente administrativo financiero,,
gestor administrativo financiero,administrative financial manager,gestor administrativo financiero,,
jefe administrativo financiero,administrative financial manager,jefe administrativo financiero,,
responsable dpto administrativo financiero,administrative financial manager,responsable dpto. administrativo financiero,,
administrativo en practicas,administrative intern,administrativo en prácticas,,
administrativo pasante,administrative intern,administrativo pasante,,
becario administrativo,administrative intern,becario administrativo,,
interno administrativo,administrative intern,interno administrativo,,
abogado gestor administrativo,administrative manager,abogado gestor administrativo,,
gerente administrativo,administrative manager,gerente administrativo,,
gestor administrativo,administrative manager,gestor administrativo,,
jefe administrativo,administrative manager,jefe administrativo,,
jefe de administracion,administrative manager,jefe de administración,,
responsable administrativo,administrative manager,responsable administrativo,,
administrativo,administrative officer,administrativo,,
administrativo oficina,administrative officer,administrativo oficina,,
administrativo oficina tecnico,administrative officer,administrativo oficina técnico,,
administrativo responsable oficina,administrative officer,administrativo responsable oficina,,
auxiliar administrativo,administrative officer,auxiliar administrativo,,
funcionario administrativo,administrative officer,funcionario administrativo,,
oficial administrativo,administrative officer,oficial administrativo,,
oficial administrativo contable,administrative officer,oficial administrativo contable,,
oficial administrativo dpto,administrative officer,oficial administrativo dpto.,,
oficial administrativo personal,administrative officer,oficial administrativo personal,,
oficial primero administrativo,administrative officer,oficial primero administrativo,,
oficial segunda administrativo,administrative officer,oficial segunda administrativo,,
responsable administrativo obras,administrative officer,responsable administrativo obras,,
tecnico administrativo,administrative officer,técnico administrativo,,
administrativo contable recepcionista,administrative receptionist,administrativo contable recepcionista,,
administrativo de recepcion,administrative receptionist,administrativo de recepción,,
administrativo oficina recepcionista,administrative receptionist,administrativo oficina recepcionista,,
recepcionista administrativo,administrative receptionist,recepcionista administrativo,,
telefonista recepcionista administrativo,administrative receptionist,telefonista recepcionista administrativo,,
secretario administrativo,administrative secretary,secretario administrativo,,
tecnico de administracion,administrative specialist,técnico de administración,,
asistente administrativo,administrative support,asistente administrativo,,
soporte administrativo,administrative support,soporte administrativo,,
administrador,administrator,administrador,,
administrador accionista,administrator,administrador accionista,,
administrador concursal,administrator,administrador concursal,,
administrador de fincas,administrator,administrador de fincas,,
administrador general,administrator,administrador general,,
administrador mentor,administrator,administrador mentor,,
administrador responsable,administrator,administrador responsable,,
administrador tienda,administrator,administrador tienda,,
administrador trabajador,administrator,administrador trabajador,,
administrador wintel,administrator,administrador wintel,,
administrativo civil,administrator,administrativo civil,,
administrativo sat,administrator,administrativo SAP,,
administrativo urbanismo,administrator,administrativo urbanismo,,
administrativo urgencias,administrator,administrativo urgencias,,
administrativo ute,administrator,administrativo ute,,
azafato administrativo,administrator,azafato administrativo,,
asistente contable administrativo,administrator accounts assistant,asistente contable administrativo,,
auxiliar administrativo contable,administrator accounts assistant,auxiliar administrativo contable,,
contable auxiliar administrativo,administrator accounts assistant,contable auxiliar administrativo,,
asistente administrativo atencion,administrator customer service,asistente administrativo atención,,
administrador desarrollador,administrator developer,administrador desarrollador,,
jefe admision,admissions manager,jefe admisión,,
tecnico avanzado,advanced technician,técnico avanzado,,
asistente de publicidad,advertising assistant,asistente de publicidad,,
ayudante publicidad,advertising assistant,ayudante publicidad,,
asesor de publicidad,advertising consultant,asesor de publicidad,,
director de publidad,advertising director,director de publicad,,
ejecutivo publicidad,advertising executive,ejecutivo publicidad,,
piblicista,advertising executive,publicista,,
publicista,advertising executive,publicista,,
jefe de publidad,advertising manager,jefe de publicad,,
responsable de promociones,advertising manager,responsable de promociones,,
responsable de publicidad,advertising manager,responsable de publicidad,,
jefe ventas publicidad,advertising sales manager,jefe ventas publicidad,,
administrativo asesoria,adviser,administrativo asesoría,,
asesor,adviser,asesor,,
asesor integral,adviser,asesor integral,,
asesor laboral,adviser,asesor laboral,,
consejero,adviser,consejero,,
asesor colaborador,advisor,asesor colaborador,,
asesor contenidos,advisor,asesor contenidos,,
asesor coordinador,advisor,asesor coordinador,,
asesor creacion,advisor,asesor creación,,
asesor de cambio,advisor,asesor de cambio,,
asesor de descanso,advisor,asesor de descanso,,
asesor delegado,advisor,asesor delegado,,
asesor departamento,advisor,asesor departamento,,
asesor general,advisor,asesor general,,
asesor municipal,advisor,asesor municipal,,
asesor musical,advisor,asesor musical,,
asesor patrimonio,advisor,asesor patrimonio,,
asesor presidente,advisor,asesor presidente,,
asesor publicitario,advisor,asesor publicitario,,
asesor pyme,advisor,asesor pyme,,
asesor renta,advisor,asesor renta,,
asesor responsable,advisor,asesor responsable,,
asesor sistemas,advisor,asesor sistemas,,
asesor superior,advisor,asesor superior,,
asesor telefonia,advisor,asesor telefonía,,
asesor urbanismo,advisor,asesor urbanismo,,
asesor web,advisor,asesor web,,
consejero asesor,advisor,consejero asesor,,
jefe de posventa,aftermarket manager,jefe de posventa,,
director agencia,agency director,director agencia,,
director de agencia,agency director,director de agencia,,
subdirector agencia,agency director,subdirector agencia,,
encargado agencia,agency manager,encargado agencia,,
agente,agent,agente,,
agente consignatario,agent,agente consignatario,,
agente de cruceros,agent,agente de cruceros,,
agente distribuidor,agent,agente distribuidor,,
agente exclusivo,agent,agente exclusivo,,
agente jugadores,agent,agente jugadores,,
agentee exclusivo,agent,agente exclusivo,,
director de agentes colaboradores,agent manager,director de agentes colaboradores,,
responsable corredores,agent manager,responsable corredores,,
agente de producto,agent production,agente de producto,,
animadora cultural,agricultural,animadora cultural,,
tecnico mantenimiento aeroportuario,aircraft technician,técnico mantenimiento aeroportuario,,
embajador,ambassador,embajador,,
analista,analyst,analista,,
analista de estudios,analyst,analista de estudios,,
analista de siniestros,analyst,analista de siniestros,,
analista de telecomunicaciones,analyst,analista de telecomunicaciones,,
analista deportivo,analyst,analista deportivo,,
analista organico,analyst,analista orgánico,,
analista recuperaciones,analyst,analista recuperaciones,,
redactor analista,analyst,redactor analista,,
analista administrativo,analyst administrator,analista administrativo,,
analista desarrollador,analyst developer,analista desarrollador,,
analista desarrollador java,analyst developer,analista desarrollador java,,
analista programador de proyectos,analyst developer,analista programador de proyectos,,
analista gestor,analyst manager,analista gestor,,
analista funcional analista programador,analyst programmer,analista funcional analista programador,,
analista funcional programador,analyst programmer,analista funcional programador,,
analista programador,analyst programmer,analista programador,,
analista programador / programador,analyst programmer,analista programador / programador,,
analista programador sistemas,analyst programmer,analista programador sistemas,,
analista programador sr,analyst programmer,analista programador sr,,
jefe analista programador,analyst programmer,jefe analista programador,,
programador / analista programador,analyst programmer,programador / analista programador,,
programador analista,analyst programmer,programador analista,,
programador analista programador,analyst programmer,programador analista programador,,
responsable analista programador,analyst programmer,responsable analista programador,,
ingeniero analista,analyst software engineer,ingeniero analista,,
director analista,analytics manager,director analista,,
desarrollador android,android developer,desarrollador Android,,
desarrollador aplicaciones android,android developer,desarrollador aplicaciones Android,,
desarrollador aplicaciones moviles android,android developer,desarrollador aplicaciones móviles Android,,
desarrollador web android,android developer,desarrollador web Android,,
desarrollo android,android developer,desarrollo Android,,
adjunto anestesia,anesthesiological physician,adjunto anestesia,,
residente anestesia,anesthesiology resident,residente anestesia,,
animador,animator,animador,,
animador modelador,animator,animador modelador,,
animador polivalente,animator,animador polivalente,,
animador social,animator,animador social,,
animadora polivalente,animator,animadora polivalente,,
ilustrador animador,animator illustrator,ilustrador animador,,
ilustradora animadora,animator illustrator,ilustradora animadora,,
analista de aplicaciones,application analyst,analista de aplicaciones,,
desarollador de aplicaciones,application developer,desarrollador de aplicaciones,,
desarrollador aplicaciones multiplataforma,application developer,desarrollador aplicaciones multiplataforma,,
desarrollador de aplicaciones,application developer,desarrollador de aplicaciones,,
desarrollo aplicacion web,application development,desarrollo aplicación web,,
ingeniero de aplicaciones,application engineer,ingeniero de aplicaciones,,
administrador de aplicaciones,application manager,administrador de aplicaciones,,
director aplicaciones,application manager,director aplicaciones,,
programador de aplicaciones,application programmer,programador de aplicaciones,,
analista programador aplicaciones web,applications analyst,analista programador aplicaciones web,,
analista programador de aplicaciones,applications analyst,analista programador de aplicaciones,,
desarrollador aplicaciones informaticas,applications developer,desarrollador aplicaciones informáticas,,
desarrollador apps,applications developer,desarrollador apps,,
desarrolladora aplicaciones,applications developer,desarrolladora aplicaciones,,
desarrollo aplicaciones informaticas,applications development manager,desarrollo aplicaciones informáticas,,
desarrollo aplicaciones moviles,applications development manager,desarrollo aplicaciones móviles,,
responsable desarrollo aplicaciones,applications development manager,responsable desarrollo aplicaciones,,
tecnico superior desarrollo aplicaciones informaticas,applications development manager,técnico superior desarrollo aplicaciones informáticas,,
tecnico soporte aplicaciones,applications support,técnico soporte aplicaciones,,
aprendiz,apprentice,aprendiz,,
aprendiz delineante,apprentice,aprendiz delineante,,
aprendiz fontaneria,apprentice,aprendiz fontanería,,
aprendiz mantenimiento,apprentice,aprendiz mantenimiento,,
aprendiz encargado,apprentice manager,aprendiz encargado,,
electricista oficial segunda,approved electrician,electricista oficial segunda,,
arquitecto,architect,arquitecto,,
arquitecto departamento,architect,arquitecto departamento,,
arquitecto redactor,architect,arquitecto redactor,,
arquitecto tecnico administrador,architect,arquitecto técnico administrador,,
arquitecto director,architect director,arquitecto director,,
arquitecto superior,architect director,arquitecto superior,,
arquitecto director obras,architect project leader,arquitecto director obras,,
arquitecto urbanista,architect urban designer,arquitecto urbanista,,
arquitecto coloborador,architectural consultant,arquitecto colaborador,,
arquitecto proyectista,architectural designer,arquitecto proyectista,,
arquitecto gerente,architectural manager,arquitecto gerente,,
archivero,archivist,archivero,,
archivero en practicas,archivist,archivero en prácticas,,
responsable area desarrollo,area development manager,responsable área desarrollo,,
director area servicios,area manager,director área servicios,,
encargado de area,area manager,encargado de área,,
gerente area,area manager,gerente área,,
jefe de area,area manager,jefe de área,,
facultativo area aparato digestivo,area sales manager,facultativo área aparato digestivo,,
oficial ejercito,army officer,oficial ejercito,,
asesor de arte,art consultant,asesor de arte,,
director arte,art director,director arte,,
director de arte,art director,director de arte,,
profesor de arte,art teacher,profesor de arte,,
artista,artist,artista,,
asistente artista,artist assistant,asistente artista,,
director arte vestuario,artist director,director arte vestuario,,
escultor,artist sculptor,escultor,,
artista docente,artist teacher,artista docente,,
ensamblador,assembler,ensamblador,,
montador cubiertas,assembler,montador cubiertas,,
montador equipos,assembler,montador equipos,,
montador muebles,assembler,montador muebles,,
oficial montador soldador,assembler,oficial montador soldador,,
ingeniero montaje,assembly engineer,ingeniero montaje,,
montador ajustador,assembly fitter,montador ajustador,,
director montaje,assembly manager,director montaje,,
director montajes,assembly manager,director montajes,,
encargado montaje,assembly manager,encargado montaje,,
encargado montajes,assembly manager,encargado montajes,,
jefe montaje,assembly manager,jefe montaje,,
oficial montajes,assembly manager,oficial montajes,,
operario cadena montaje,assembly operator,operario cadena montaje,,
operario de cadena de montaje,assembly operator,operario de cadena de montaje,,
operario de linea de montaje,assembly operator,operario de línea de montaje,,
oficial montador,assembly worker,oficial montador,,
operario de montaje,assembly worker,operario de montaje,,
gestor pyme,assessment manager,gestor pyme,,
grabador verificador datos,assessor verifier,grabador verificador datos,,
gestor de activos,asset manager,gestor de activos,,
gestor de patrimonio,asset manager,gestor de patrimonio,,
coordinador asistencia,assistance coordinator,coordinador asistencia,,
asistente,assistant,asistente,,
asistente consejero delegado,assistant,asistente consejero delegado,,
asistente establecimiento,assistant,asistente establecimiento,,
asistente firmas,assistant,asistente firmas,,
asistente judicial,assistant,asistente judicial,,
asistente junior,assistant,asistente junior,,
asistente planta,assistant,asistente planta,,
asistente polivalente,assistant,asistente polivalente,,
asistente procurador,assistant,asistente procurador,,
asistente responsable,assistant,asistente responsable,,
asistente rodaje,assistant,asistente rodaje,,
asistente seleccion,assistant,asistente selección,,
auxiliar,assistant,auxiliar,,
auxiliar audiovisual,assistant,auxiliar audiovisual,,
auxiliar judicial,assistant,auxiliar judicial,,
auxiliar juegos,assistant,auxiliar juegos,,
auxiliar medio ambiente,assistant,auxiliar medio ambiente,,
auxiliar reponedor,assistant,auxiliar reponedor,,
auxiliar reposicion,assistant,auxiliar reposición,,
auxiliar reservas,assistant,auxiliar reservas,,
ayudante,assistant,ayudante,,
ayudante archivos,assistant,ayudante archivos,,
ayudante de maquinas,assistant,ayudante de máquinas,,
ayudante fontaneria,assistant,ayudante fontanería,,
ayudante gabinete,assistant,ayudante gabinete,,
ayudante inspector,assistant,ayudante inspector,,
ayudante jefe planta,assistant,ayudante jefe planta,,
ayudante procurador,assistant,ayudante procurador,,
ayudante responsable,assistant,ayudante responsable,,
ayudante script,assistant,ayudante script,,
asistente ejecutivo cuentas,assistant account executive,asistente ejecutivo cuentas,,
asistente ejecutivo de cuentas,assistant account executive,asistente ejecutivo de cuentas,,
ayudante ejecutivo cuentas,assistant account executive,ayudante ejecutivo cuentas,,
auxiliar contable,assistant accountant,auxiliar contable,,
administrador adjunto,assistant administrator,administrador adjunto,,
asistente gestor,assistant advisor,asistente gestor,,
ayudante asesor,assistant advisor,ayudante asesor,,
agente auxiliar,assistant agent,agente auxiliar,,
asistente director arte,assistant art director,asistente director arte,,
auditor asistente,assistant auditor,auditor asistente,,
ayudante jefe,assistant chief engineer,ayudante jefe,,
entrenador asistente,assistant coach,entrenador asistente,,
asistente consultor,assistant consultant,asistente consultor,,
auxiliar consulta,assistant consultant,auxiliar consulta,,
ayudante consultor,assistant consultant,ayudante consultor,,
consultor auxiliar,assistant consultant,consultor auxiliar,,
asistente coordinador,assistant coordinator,asistente coordinador,,
coordinador adjunto,assistant coordinator,coordinador adjunto,,
desarrollador auxiliar diseno web,assistant designer,desarrollador auxiliar diseño web,,
asistente director,assistant director,asistente director,,
asistente director operaciones,assistant director operations,asistente director operaciones,,
asistente director ventas,assistant director sales,asistente director ventas,,
asistente editor,assistant editor,asistente editor,,
ayudante editor,assistant editor,ayudante editor,,
ayudante produccion redaccion,assistant editor,ayudante producción redacción,,
redactor adjunto,assistant editor,redactor adjunto,,
asistente ingeniero,assistant engineer,asistente ingeniero,,
asistente director ejecutivo,assistant executive director,asistente director ejecutivo,,
asistente gerente general,assistant general manager,asistente gerente general,,
adjunto gerencia,assistant manager,adjunto gerencia,,
asistente encargado,assistant manager,asistente encargado,,
ayudante jefe unidad,assistant manager,ayudante jefe unidad,,
encargado adjunto,assistant manager,encargado adjunto,,
sudirector de oficina,assistant office manager,subdirector de oficina,,
ayudante operador,assistant operator,ayudante operador,,
ayudante pasteleria,assistant pastry chef,ayudante pastelería,,
asistente de presidente,assistant president,asistente de presidente,,
asistente banca,assistant private banker,asistente banca,,
auxiliar bancario,assistant private banker,auxiliar bancario,,
profesor ayudante,assistant professor,profesor ayudante,,
profesor ayudante facultad,assistant professor,profesor ayudante facultad,,
profesora ayudante universitaria,assistant professor,profesora ayudante universitaria,,
asistente relaciones,assistant relationship manager,asistente relaciones,,
ayudante secretario,assistant secretary,ayudante secretario,,
ayudante de seccion,assistant section manager,ayudante de sección,,
adjunto director tienda,assistant store manager,adjunto director tienda,,
ayudante jefe almacen,assistant store manager,ayudante jefe almacén,,
asistente supervisor,assistant supervisor,asistente supervisor,,
ayudante supervisor,assistant supervisor,ayudante supervisor,,
maestro auxiliar,assistant teacher,maestro auxiliar,,
profesor asistente,assistant teacher,profesor asistente,,
profesor auxiliar,assistant teacher,profesor auxiliar,,
ayudante jefe oficina tecnico,assistant technical officer,ayudante jefe oficina técnico,,
asociados,associate,asociados,,
colaborador asociado,associate,colaborador asociado,,
abogado asociado principal,associate attorney,abogado asociado principal,,
consultor asociado,associate consultant,consultor asociado,,
director creativo asociado,associate creative director,director creativo asociado,,
director asociado,associate director,director asociado,,
editor asociado,associate editor,editor asociado,,
ingeniero asociado,associate engineer,ingeniero asociado,,
abogado asociado,associate lawyer,abogado asociado,,
adjunta jefe,associate manager,adjunta jefe,,
adjunta jefe tienda,associate manager,adjunta jefe tienda,,
jefe asociado,associate manager,jefe asociado,,
profesor adjunto,associate professor,profesor adjunto,,
profesor asociado,associate professor,profesor asociado,,
profesor asociado asistencial,associate professor,profesor asociado asistencial,,
tramitador siniestros diversos,associate solicitor,tramitador siniestros diversos,,
abogado,attorney,abogado,,
apoderado,attorney,apoderado,,
procurador,attorney,procurador,,
notario,attorney law notary public,notario,,
administrativo auditoria,audit administrator,administrativo auditoria,,
asistente de auditoria,audit assistant,asistente de auditoría,,
asesor auditor,audit consultant,asesor auditor,,
asesor fiscal auditor,audit consultant,asesor fiscal auditor,,
consultor auditor formador,audit consultant,consultor auditor formador,,
consultor auditora,audit consultant,consultor auditora,,
director de auditoria,audit director,director de auditoría,,
auditor gerente,audit manager,auditor gerente,,
auditor jefe calidad medio ambiente,audit manager,auditor jefe calidad medio ambiente,,
auditor jefe equipo,audit manager,auditor jefe equipo,,
auditor jefe sistemas gestion,audit manager,auditor jefe sistemas gestión,,
auditor,auditor,auditor,,
auditor cuentas roac,auditor,auditor cuentas,,
auditor mercado,auditor,auditor mercado,,
auditor riesgos tecnologicos,auditor,auditor riesgos tecnológicos,,
interventor adjunto,auditor,interventor adjunto,,
interventor delegado,auditor,interventor delegado,,
consultor auditor,auditor consultant,consultor auditor,,
autor,author,autor,,
agente autorizado,authorized officer,agente autorizado,,
ingeniero automatismos,automation engineer,ingeniero automatismos,,
ingeniero automatizacion industrial,automation engineer,ingeniero automatización industrial,,
asesor de automocion,automotive consultant,asesor de automoción,,
consultor de automocion,automotive consultant,consultor de automoción,,
automocion,automotive engineer,automoción,,
ingeniero calidad automocion,automotive engineer,ingeniero calidad automoción,,
jefe automocion,automotive engineer,jefe automoción,,
profesor tecnico automocion,automotive technician,profesor técnico automoción,,
tecnico automocion,automotive technician,técnico automoción,,
tecnico automovilistico,automotive technician,técnico automovilístico,,
auxiliar ayuda domiciliaria,auxiliary nurse,auxiliar ayuda domiciliaria,,
auxiliar enfermeria administrativo,auxiliary nurse,auxiliar enfermería administrativo,,
auxiliar enfermeria ayuda domicilio,auxiliary nurse,auxiliar enfermería ayuda domicilio,,
auxiliar sanitario,auxiliary nurse,auxiliar sanitario,,
tecnico auxiliar de cuidados de enfermeria,auxiliary nurse,técnico auxiliar de cuidados de enfermería,,
agentee judicial,bailiff,agente judicial,,
hornero,baker,hornero,,
oficial panadero,baker,oficial panadero,,
panadero,baker,panadero,,
panadero pastelero,baker,panadero pastelero,,
pastelero,baker,pastelero,,
auxiliar administrativo de banca,bank clerk,auxiliar administrativo de banca,,
cajero entidad bancaria,bank employee,cajero entidad bancaria,,
empleado banca practicas,bank employee,empleado banca practicas,,
empleado de banca,bank employee,empleado de banca,,
empleado oficina bancaria,bank employee,empleado oficina bancaria,,
gestor activos bancarios,bank manager,gestor activos bancarios,,
responsable banca,bank manager,responsable banca,,
subdirector entidad bancaria,bank manager,subdirector entidad bancaria,,
operador banca,bank officer,operador banca,,
operario banca,bank officer,operario banca,,
operativo banca,bank officer,operativo banca,,
banquero,banker,banquero,,
cajero oficina bancaria,banker,cajero oficina bancaria,,
