source,target
administrativo auxiliar administrativo,administrative assistant
auxilar administrativo,administrative assistant
auxiliar administrativo ayudante,administrative assistant
auxiliar administrativo becario,administrative assistant
auxiliar administrativo celador,administrative assistant
auxiliar administrativo delineante,administrative assistant
auxiliar administrativo idiomas,administrative assistant
auxiliar administrativo responsable,administrative assistant
auxliar administrativo,administrative assistant
ayudante administrativo,administrative assistant
ayudante auxiliar administrativo,administrative assistant
delineante auxiliar administrativo,administrative assistant
ordenanza,administrative assistant
administrativo tramitador,administrative clerk
coordinador administrativo,administrative coordinator
coordinador auxiliar administrativo,administrative coordinator
jefe administrativo ute,administrative coordinator
director administrativo,administrative director
administrativo entidad financiera,administrative financial manager
administrativo financiero,administrative financial manager
departamento administrativo financiero,administrative financial manager
gerente administrativo financiero,administrative financial manager
gestor administrativo financiero,administrative financial manager
jefe administrativo financiero,administrative financial manager
responsable dpto administrativo financiero,administrative financial manager
administrativo en practicas,administrative intern
administrativo pasante,administrative intern
becario administrativo,administrative intern
interno administrativo,administrative intern
abogado gestor administrativo,administrative manager
gerente administrativo,administrative manager
gestor administrativo,administrative manager
jefe administrativo,administrative manager
jefe de administracion,administrative manager
responsable administrativo,administrative manager
administrativo,administrative officer
administrativo oficina,administrative officer
administrativo oficina tecnico,administrative officer
administrativo responsable oficina,administrative officer
auxiliar administrativo,administrative officer
funcionario administrativo,administrative officer
oficial administrativo,administrative officer
oficial administrativo contable,administrative officer
oficial administrativo dpto,administrative officer
oficial administrativo personal,administrative officer
oficial primero administrativo,administrative officer
oficial segunda administrativo,administrative officer
responsable administrativo obras,administrative officer
tecnico administrativo,administrative officer
administrativo contable recepcionista,administrative receptionist
administrativo de recepcion,administrative receptionist
administrativo oficina recepcionista,administrative receptionist
recepcionista administrativo,administrative receptionist
telefonista recepcionista administrativo,administrative receptionist
secretario administrativo,administrative secretary
tecnico de administracion,administrative specialist
asistente administrativo,administrative support
soporte administrativo,administrative support
administrador,administrator
administrador accionista,administrator
administrador concursal,administrator
administrador de fincas,administrator
administrador general,administrator
administrador mentor,administrator
administrador responsable,administrator
administrador tienda,administrator
administrador trabajador,administrator
administrador wintel,administrator
administrativo civil,administrator
administrativo sat,administrator
administrativo urbanismo,administrator
administrativo urgencias,administrator
administrativo ute,administrator
azafato administrativo,administrator
asistente contable administrativo,administrator accounts assistant
auxiliar administrativo contable,administrator accounts assistant
contable auxiliar administrativo,administrator accounts assistant
asistente administrativo atencion,administrator customer service
administrador desarrollador,administrator developer
jefe admision,admissions manager
tecnico avanzado,advanced technician
asistente de publicidad,advertising assistant
ayudante publicidad,advertising assistant
asesor de publicidad,advertising consultant
director de publidad,advertising director
ejecutivo publicidad,advertising executive
piblicista,advertising executive
publicista,advertising executive
jefe de publidad,advertising manager
responsable de promociones,advertising manager
responsable de publicidad,advertising manager
jefe ventas publicidad,advertising sales manager
administrativo asesoria,adviser
asesor,adviser
asesor integral,adviser
asesor laboral,adviser
consejero,adviser
asesor colaborador,advisor
asesor contenidos,advisor
asesor coordinador,advisor
asesor creacion,advisor
asesor de cambio,advisor
asesor de descanso,advisor
asesor delegado,advisor
asesor departamento,advisor
asesor general,advisor
asesor municipal,advisor
asesor musical,advisor
asesor patrimonio,advisor
asesor presidente,advisor
asesor publicitario,advisor
asesor pyme,advisor
asesor renta,advisor
asesor responsable,advisor
asesor sistemas,advisor
asesor superior,advisor
asesor telefonia,advisor
asesor urbanismo,advisor
asesor web,advisor
consejero asesor,advisor
jefe de posventa,aftermarket manager
director agencia,agency director
director de agencia,agency director
subdirector agencia,agency director
encargado agencia,agency manager
agente,agent
agente consignatario,agent
agente de cruceros,agent
agente distribuidor,agent
agente exclusivo,agent
agente jugadores,agent
agentee exclusivo,agent
director de agentes colaboradores,agent manager
responsable corredores,agent manager
agente de producto,agent production
animadora cultural,agricultural
tecnico mantenimiento aeroportuario,aircraft technician
embajador,ambassador
analista,analyst
analista de estudios,analyst
analista de siniestros,analyst
analista de telecomunicaciones,analyst
analista deportivo,analyst
analista organico,analyst
analista recuperaciones,analyst
redactor analista,analyst
analista administrativo,analyst administrator
analista desarrollador,analyst developer
analista desarrollador java,analyst developer
analista programador de proyectos,analyst developer
analista gestor,analyst manager
analista funcional analista programador,analyst programmer
analista funcional programador,analyst programmer
analista programador,analyst programmer
analista programador / programador,analyst programmer
analista programador sistemas,analyst programmer
analista programador sr,analyst programmer
jefe analista programador,analyst programmer
programador / analista programador,analyst programmer
programador analista,analyst programmer
programador analista programador,analyst programmer
responsable analista programador,analyst programmer
ingeniero analista,analyst software engineer
director analista,analytics manager
desarrollador android,android developer
desarrollador aplicaciones android,android developer
desarrollador aplicaciones moviles android,android developer
desarrollador web android,android developer
desarrollo android,android developer
adjunto anestesia,anesthesiological physician
residente anestesia,anesthesiology resident
animador,animator
animador modelador,animator
animador polivalente,animator
animador social,animator
animadora polivalente,animator
ilustrador animador,animator illustrator
ilustradora animadora,animator illustrator
analista de aplicaciones,application analyst
desarollador de aplicaciones,application developer
desarrollador aplicaciones multiplataforma,application developer
desarrollador de aplicaciones,application developer
desarrollo aplicacion web,application development
ingeniero de aplicaciones,application engineer
administrador de aplicaciones,application manager
director aplicaciones,application manager
programador de aplicaciones,application programmer
analista programador aplicaciones web,applications analyst
analista programador de aplicaciones,applications analyst
desarrollador aplicaciones informaticas,applications developer
desarrollador apps,applications developer
desarrolladora aplicaciones,applications developer
desarrollo aplicaciones informaticas,applications development manager
desarrollo aplicaciones moviles,applications development manager
responsable desarrollo aplicaciones,applications development manager
tecnico superior desarrollo aplicaciones informaticas,applications development manager
tecnico soporte aplicaciones,applications support
aprendiz,apprentice
aprendiz delineante,apprentice
aprendiz fontaneria,apprentice
aprendiz mantenimiento,apprentice
aprendiz encargado,apprentice manager
electricista oficial segunda,approved electrician
arquitecto,architect
arquitecto departamento,architect
arquitecto redactor,architect
arquitecto tecnico administrador,architect
arquitecto director,architect director
arquitecto superior,architect director
arquitecto director obras,architect project leader
arquitecto urbanista,architect urban designer
arquitecto coloborador,architectural consultant
arquitecto proyectista,architectural designer
arquitecto gerente,architectural manager
archivero,archivist
archivero en practicas,archivist
responsable area desarrollo,area development manager
director area servicios,area manager
encargado de area,area manager
gerente area,area manager
jefe de area,area manager
facultativo area aparato digestivo,area sales manager
oficial ejercito,army officer
asesor de arte,art consultant
director arte,art director
director de arte,art director
profesor de arte,art teacher
artista,artist
asistente artista,artist assistant
director arte vestuario,artist director
escultor,artist sculptor
artista docente,artist teacher
ensamblador,assembler
montador cubiertas,assembler
montador equipos,assembler
montador muebles,assembler
oficial montador soldador,assembler
ingeniero montaje,assembly engineer
montador ajustador,assembly fitter
director montaje,assembly manager
director montajes,assembly manager
encargado montaje,assembly manager
encargado montajes,assembly manager
jefe montaje,assembly manager
oficial montajes,assembly manager
operario cadena montaje,assembly operator
operario de cadena de montaje,assembly operator
operario de linea de montaje,assembly operator
oficial montador,assembly worker
operario de montaje,assembly worker
gestor pyme,assessment manager
grabador verificador datos,assessor verifier
gestor de activos,asset manager
gestor de patrimonio,asset manager
coordinador asistencia,assistance coordinator
asistente,assistant
asistente consejero delegado,assistant
asistente establecimiento,assistant
asistente firmas,assistant
asistente judicial,assistant
asistente junior,assistant
asistente planta,assistant
asistente polivalente,assistant
asistente procurador,assistant
asistente responsable,assistant
asistente rodaje,assistant
asistente seleccion,assistant
auxiliar,assistant
auxiliar audiovisual,assistant
auxiliar judicial,assistant
auxiliar juegos,assistant
auxiliar medio ambiente,assistant
auxiliar reponedor,assistant
auxiliar reposicion,assistant
auxiliar reservas,assistant
ayudante,assistant
ayudante archivos,assistant
ayudante de maquinas,assistant
ayudante fontaneria,assistant
ayudante gabinete,assistant
ayudante inspector,assistant
ayudante jefe planta,assistant
ayudante procurador,assistant
ayudante responsable,assistant
ayudante script,assistant
asistente ejecutivo cuentas,assistant account executive
asistente ejecutivo de cuentas,assistant account executive
ayudante ejecutivo cuentas,assistant account executive
auxiliar contable,assistant accountant
administrador adjunto,assistant administrator
asistente gestor,assistant advisor
ayudante asesor,assistant advisor
agente auxiliar,assistant agent
asistente director arte,assistant art director
auditor asistente,assistant auditor
ayudante jefe,assistant chief engineer
entrenador asistente,assistant coach
asistente consultor,assistant consultant
auxiliar consulta,assistant consultant
ayudante consultor,assistant consultant
consultor auxiliar,assistant consultant
asistente coordinador,assistant coordinator
coordinador adjunto,assistant coordinator
desarrollador auxiliar diseno web,assistant designer
asistente director,assistant director
asistente director operaciones,assistant director operations
asistente director ventas,assistant director sales
asistente editor,assistant editor
ayudante editor,assistant editor
ayudante produccion redaccion,assistant editor
redactor adjunto,assistant editor
asistente ingeniero,assistant engineer
asistente director ejecutivo,assistant executive director
asistente gerente general,assistant general manager
adjunto gerencia,assistant manager
asistente encargado,assistant manager
ayudante jefe unidad,assistant manager
encargado adjunto,assistant manager
sudirector de oficina,assistant office manager
ayudante operador,assistant operator
ayudante pasteleria,assistant pastry chef
asistente de presidente,assistant president
asistente banca,assistant private banker
auxiliar bancario,assistant private banker
profesor ayudante,assistant professor
profesor ayudante facultad,assistant professor
profesora ayudante universitaria,assistant professor
asistente relaciones,assistant relationship manager
ayudante secretario,assistant secretary
ayudante de seccion,assistant section manager
adjunto director tienda,assistant store manager
ayudante jefe almacen,assistant store manager
asistente supervisor,assistant supervisor
ayudante supervisor,assistant supervisor
maestro auxiliar,assistant teacher
profesor asistente,assistant teacher
profesor auxiliar,assistant teacher
ayudante jefe oficina tecnico,assistant technical officer
asociados,associate
colaborador asociado,associate
abogado asociado principal,associate attorney
consultor asociado,associate consultant
director creativo asociado,associate creative director
director asociado,associate director
editor asociado,associate editor
ingeniero asociado,associate engineer
abogado asociado,associate lawyer
adjunta jefe,associate manager
adjunta jefe tienda,associate manager
jefe asociado,associate manager
profesor adjunto,associate professor
profesor asociado,associate professor
profesor asociado asistencial,associate professor
tramitador siniestros diversos,associate solicitor
abogado,attorney
apoderado,attorney
procurador,attorney
notario,attorney law notary public
administrativo auditoria,audit administrator
asistente de auditoria,audit assistant
asesor auditor,audit consultant
asesor fiscal auditor,audit consultant
consultor auditor formador,audit consultant
consultor auditora,audit consultant
director de auditoria,audit director
auditor gerente,audit manager
auditor jefe calidad medio ambiente,audit manager
auditor jefe equipo,audit manager
auditor jefe sistemas gestion,audit manager
auditor,auditor
auditor cuentas roac,auditor
auditor mercado,auditor
auditor riesgos tecnologicos,auditor
interventor adjunto,auditor
interventor delegado,auditor
consultor auditor,auditor consultant
autor,author
agente autorizado,authorized officer
ingeniero automatismos,automation engineer
ingeniero automatizacion industrial,automation engineer
asesor de automocion,automotive consultant
consultor de automocion,automotive consultant
automocion,automotive engineer
ingeniero calidad automocion,automotive engineer
jefe automocion,automotive engineer
profesor tecnico automocion,automotive technician
tecnico automocion,automotive technician
tecnico automovilistico,automotive technician
auxiliar ayuda domiciliaria,auxiliary nurse
auxiliar enfermeria administrativo,auxiliary nurse
auxiliar enfermeria ayuda domicilio,auxiliary nurse
auxiliar sanitario,auxiliary nurse
tecnico auxiliar de cuidados de enfermeria,auxiliary nurse
agentee judicial,bailiff
hornero,baker
oficial panadero,baker
panadero,baker
panadero pastelero,baker
pastelero,baker
auxiliar administrativo de banca,bank clerk
cajero entidad bancaria,bank employee
empleado banca practicas,bank employee
empleado de banca,bank employee
empleado oficina bancaria,bank employee
gestor activos bancarios,bank manager
responsable banca,bank manager
subdirector entidad bancaria,bank manager
operador banca,bank officer
operario banca,bank officer
operativo banca,bank officer
banquero,banker
cajero oficina bancaria,banker
asesor de banca,banking advisor
analista banca,banking analyst
analista funcional banca,banking analyst
consultor banca,banking consultant
consultor banca privada,banking consultant
cajero banca gestor,banking manager
directivo banca,banking manager
gerente banca corporativa,banking manager
gestor banca minorista,banking manager
gestor bancario,banking manager
gestor de banca,banking manager
administrativo de banca,banking officer
oficial banca,banking officer
coordinador de banquetes,banquet coordinator
camarero de banquete,banquet server
encargado de barra,bar manager
hostelero,bar restaurant manager
camarero de barra,bar waiter
camarero encargado barra,bartender
camarero / jefe de barra,bartender waiter
camarero bar copas,bartender waiter
camarero barman,bartender waiter
camarero barra sala,bartender waiter
camarero barra sala terraza,bartender waiter
camarero comedor barra,bartender waiter
camarero mesa barra,bartender waiter
camarero sala barra,bartender waiter
pinche cocina camarero,bartender waiter
entrenador de baloncesto,basketball coach
entrenador superior baloncesto,basketball coach
bajista,bass guitarist
apicultor,beekeeper
administrativo prestaciones,benefits administrator
responsable prestaciones,benefits manager
jefe proyecto bi,bi project manager
administrativo licitaciones,bid coordinator
responsable ofertas,bid manager
administrador bi,billing administrator
bloguero,blogger
miembro pleno,board member
agente de reservas,booking agent
agente de reservas individuales,booking agent
responsable departamento reservas,booking manager
librero,bookseller
vendedor libros,bookseller
auxiliar taquilla,box office assistant
taquillero,box office assistant
administrativo sucursal bancaria,branch administrator
director de sucursal,branch director
director sucursales,branch director
encargado de sucursal,branch manager
gerente sucursal,branch manager
gestor sucursal,branch manager
jefe de sucursal,branch manager
responsable de diseno y desarrollo,brand development manager
director de marca,brand director
jefe de marca,brand manager
responsable marca,brand manager
ayudante reparto,broadcast assistant
bolsista,broker
corredor plaza,broker
operador de mercado,broker
analista presupuesto,budget analyst
controller presupuestario,budget controller
gestion presupuestos,budget controller
tecnico estudios presupuestos,budget officer
tecnico gestion presupuestaria,budget officer
tecnico edificacion,build technician
aparejador,building engineer
oficial mantenimiento edificios,building maintenance
encargado de mantenimiento de edificios,building maintenance manager
jefe obras servicios,building services
peon servicios,building services
jefe edificacion civil,building surveyor
tecnico de estudios de obras,building surveyor
tecnico estudios edificacion,building surveyor
conserje edificios,buildings manager
conductor autobuses,bus driver
asesor de negocio,business advisor
asesor mercantil,business advisor
asesor servicios comerciales,business advisor
administrativo pymes,business agent
analista negocio,business analyst
analista negocios,business analyst
analista funcional jefe proyecto,business analyst project manager
consultor empresarial,business consultant
consultor negocio,business consultant
consultoria negocio,business consultant
controller de negocio,business controller
coordinador actividades empresariales,business coordinator
coordinador negocios,business coordinator
desarrollador de negocio,business developer
desarrollador negocios,business developer
desarrollo de negocio,business development
desarrollo de negoico,business development
asesor desarrollo empresarial,business development advisor
analista desarrollo negocio,business development analyst
asistente de desarrollo de negocio,business development assistant
consultor desarrollo empresarial,business development consultant
consultor desarrollo negocio,business development consultant
consultoria desarrollo negocio,business development consultant
director de desarrollo de negocio,business development director
director desarrollo de negocio,business development director
director desarrollo negocios,business development director
director negocio inmobiliario,business development director
director unidad promocion desarrollo,business development director
ejecutivo desarrollo empresarial,business development executive
ejecutivo desarrollo negocio,business development executive
gestion desarrollo negocio,business development management
gerente desarrollo empresarial,business development manager
gerente desarrollo negocio,business development manager
gerente desarrollo negocios,business development manager
responsable desarrollo empresarial,business development manager
director area negocio,business director
director de negocio,business director
director empresarial,business director
director linea negocio,business director
profesor ingles empresarial,business english teacher
ejecutivo negocio,business executive
perito mercantil,business expert
abogado departamento mercantil,business lawyer
abogado mercantil,business lawyer
abogado mercantilista,business lawyer
responsable linea negocio,business line manager
empresario gerente,business manager
encargado establecimiento,business manager
encargado negocio,business manager
gerente empresarial,business manager
gerente negocio,business manager
gestor captacion negocio,business manager
gestor comercios,business manager
gestor empresarial,business manager
jefe de negocio,business manager
jefe empresarial,business manager
responsable comerciales,business manager
responsable negocio,business manager
responsable negocios,business manager
oficial negocios,business officer
empresario,business owner
propietario comercio,business owner
analista procesos negocio,business process analyst
consultor estrategia empresarial,business strategist
estrategia desarrollo negocio,business strategist
jefe equipo comerciales,business team leader
jefe equipos comerciales,business team leader
asesor transporte,business travel consultant
consultor de viajes de empresa,business travel consultant
director unidad negocio,business unit director
jefe unidad negocio,business unit head
jefe unidad negocios,business unit head
gerente unidad empresarial,business unit manager
gerente unidad negocio,business unit manager
gestor unidad negocio,business unit manager
carnicero,butcher
tripulante de cabina,cabin crew
tripulante de cabina de pasajeros,cabin crew
jefe gabinete presidente,cabinet member
proyectista cad,cad designer
ingeniero calculista,calculation engineer
operador camara,camera operator
operador camara editor videos,camera operator editor
editor video operador camara,camera operator video editor
operador camara editor video,camera operator video editor
realizador operador camara editor video,camera operator video editor
gestor de campanas,campaign manager
coordinador de la campana de la declaracion de la renta,campaigns coordinator
patron embarcaciones,captain
mecanico automovil,car mechanic
mecanico automoviles,car mechanic
mecanico de coches,car mechanic
asistente personas mayores,care assistant
trabajador apoyo,care support worker
orientadora laboral programa orienta,career coach
abogado asesor,career counselor
consejero venta,career counselor
orientador laboral,career counselor
orientadora laboral,career counselor
cuidador,carer
cuidador de personas discapacitadas,carer
cuidador personas dependientes,carer
cuidador tecnico servicios asistenciales,carer
carpintero,carpenter
carpintero montador,carpenter
carpintero naval,carpenter
ebanista,carpenter
encargado carpinteria,carpenter
oficial ebanista,carpenter
oficial carpintero,carpenter foreman
montador muebles cocina,carpenter kitchen fitter
dibujante,cartoonist
cajero,cashier
cajero asesor,cashier
cajero comercio,cashier
cajero de panaderia,cashier
cajero jefe,cashier
cajero oficina,cashier
cajero reponedor,cashier
cajero responsable,cashier
cajero restaurante,cashier
cajero sucursal,cashier
tecnico cajeros,cashier
cajero encargado,cashier supervisor
auxiliar catering,catering
coordinador catering,catering manager
encargado catering,catering manager
jefe catering,catering manager
agente censal,census collector
ceo,ceo
director general propietaria,ceo
presidente ejecutivo,ceo
presidente gerente,ceo
jefe de gabinete de presidencia,ceo chief executive officer
consejero delegado,ceo managing director
ceramista,ceramic artist
certificaciones energeticas,certification engineer
entrenador personal certificado,certified personal trainer
director financiero,cfo
gestor cambio,change manager
gestor de cambios,change manager
director canales,channel director
chef,chef
chef cocina,chef
jefe de cocina,chef
jefe de codina,chef
jefe brigada incendios forestales,chef brigade
gerente cocinero,chef manager
cocinero propietario,chef owner
sumiller,chef sommelier
jefe contable,chief accountant
jefe departamento administrativo,chief administrative officer
arquitecto tecnico jefe,chief architect
director general de negocio,chief business officer
jefe de comunicacion,chief communications officer
cocinero jefe cocina,chief cook
jefe cocina chef,chief cook
jefe cocina cocinero,chief cook
jefe de diseno,chief designer
jefe proyectista,chief designer
jefe seleccion desarrollo,chief development officer
director jefe,chief director
ingeniero caminos jefe,chief engineer
ingeniero jefe,chief engineer
ingeniero jefe obras,chief engineer
jefe de maquinaria,chief engineer
jefe de maquinas,chief engineer
jefe de ejecucion,chief executive officer
jefe de finanzas,chief financial officer
jefe financiero,chief financial officer
jefe seccion recursos humanos,chief human resources officer
jefe servicio recursos humanos,chief human resources officer
redactor jefe informativos,chief information officer
jefe de mantenimiento y seguridad,chief information security officer
inspector construcciones soldadas,chief inspector
gerente jefe,chief manager
jefe equipo encargado,chief manager
jefe mecanica,chief mechanic
jefe mecanico,chief mechanic
jefe seccion nefrologia,chief medical officer
jefe de gabinete,chief office
oficial jefe,chief officer
director de oficina en zaragoza,chief operating officer director
jefe de operaciones,chief operations officer
jefe compras aprovisionamiento,chief procurement officer
jefe compras aprovisionamientos,chief procurement officer
jefe departamento calidad,chief quality officer
jefe residentes,chief resident
jefe seccion aparato digestivo,chief section
jefe seccion obras,chief section
jefe seccion personal,chief section
jefe seccion ventas,chief section
jefe seguridad delegado,chief security officer
jefe software,chief software architect
jefe gabinete tecnico,chief technical officer
jefe oficina tecnico jefe,chief technical officer
jefe tecnico sonido,chief technical officer
jefe dto tecnico,chief technician
jefe oficina tecnico jefe produccion,chief technician
jefe responsable tecnico,chief technician
jefe de tecnologi,chief technology officer
psicologo infanto juvenil adultos,child adolescent psychotherapist
auxiliar infantil,childcare assistant
cuidador infantil,childminder
profesor de chino,chinese teacher
quiromasajista deportivo,chiropractor
terapeuta quiromasajista,chiropractor
delegado de ciudad,city councillor
ingeniero caminos canales puertos,civil engineer
ingeniero de caminos,civil engineer
ingeniero caminos canales puertos civil,civil engineering
funcionario,civil servant
oficial ajustador,claims adjuster
tramitador de siniestros,claims handler
gestor de reclamaciones,claims manager
responsable departamento aduanas,claims manager
responsable reclamaciones,claims manager
agente de reclamaciones,claims officer
camarero limpiador,cleaner
cuidadora limpiadora,cleaner
limpiador,cleaner
limpiadora,cleaner
limpiadora hogar,cleaner
administrtivo,clerical
administrativo general,clerk
asesor de belleza / dependiente,clerk
dependiente de panaderia,clerk
administrador servicios,client services administrator
administrativo servicios,client services administrator
administrativo clinica,clinical administrator
jefe clinico,clinical lead
encargado clinica,clinical manager
tecnico superior imagen diagnostico clinico,clinical supervisor
ensayos clinicos,clinical trials
jefe de cierre,close protection
tornero,cnc turner
tornero fresador,cnc turner
entrenador,coach
entrenador educador,coach educator
entrenador cognitivo,cognitive therapist
colaborador de departamento,collaborator
colaborador experto,collaborator
colaborador tertuliano,collaborator
coloborador habitual,collaborator
intermediador laboral,collaborator
jefe cobros,collection manager
gestor de cobros y pagos,collections manager
gestor recobro,collections manager
responsable cuentas cobrar,collections manager
responsable departamento de cobros,collections manager
captador,collector
cobrador,collector
articulista,columnist
columnista,columnist
comandante,commander
administrativo de comercio,commerce administrator
asesor fiscal mercantil,commercial advisor
coordinador de equipos comerciales,commercial coordinator
jefe sector de comercio,commercial manager
responsable operaciones comerciales,commercial operations
ingeniero puesta marcha,commissioning engineer
coordinador de comunicacion,communication coordinator
asesor comunicaciones,communications advisor
asistente comunicaciones,communications assistant
consultor de comunicaciones,communications consultant
ingeniero de comunicaciones,communications engineer
responsable comunicaciones seguridad,communications lead
responsable departamento comunicaciones,communications lead
responsable redes comunicaciones,communications lead
director comunicaciones corporativas,communications manager
encargado comunicaciones,communications manager
gestor comunicaciones,communications manager
oficial comunicaciones,communications officer
tecnico comunicaciones sistemas,communications systems operator
tecnico comunicaciones redes,communications technician
tecnico de comunicaciones,communications technician
tecnico informatico de comunicaciones,communications technician
responsable de comunidad,community manager
enfermero enfermeria familiar comunitaria,community nurse
enfermero familiar comunitaria,community nurse
oficial unidad movil,community officer
director empresa,company director
director negocio empresa,company director
secretario departamento compras,company secretary
ingeniero de diseno asistido de ordenador,computer network engineer
programador de aplicaciones informaticas,computer programmer
formador aplicaciones informaticas,computer science
becario colaboracion servicios informaticos,computer service
mantenimiento equipos informaticos,computer support
soporte informatico,computer support
informatico,computer technician
tecnico administrativo informatico,computer technician
tecnico informatico,computer technician
tecnico informatico mantenimiento,computer technician
tecnico informatico vendedor,computer technician
vendedor tecnico informatico,computer technician
azafato imagen ferias congresos,conference & events coordinator
coordinador de eventos y congresos,conference events coordinator
organizador congresos,conference organiser
conservador restaurador bienes culturales,conservator
conservador restaurador obras arte,conservator
conservadora restauradora obras arte,conservator
coordinador obras,construction coordinator
director de obra,construction manager
encargado de construccion,construction manager
gerente construcciones,construction manager
gerente empresa constructora,construction manager
jefe de obra,construction manager
responsable de obra,construction manager
administrativo del sector de la construccion,construction supervisor
jefe de construccion,construction supervisor
ayudante construccion,construction worker
trabajador construccion,construction worker
consultoria,consultancy
asesor dental,consultant
asesor lactancia,consultant
consultor,consultant
consultor administrativo,consultant
consultor becario,consultant
consultor contenidos,consultant
consultor departamento,consultant
consultor europeos,consultant
consultor genero,consultant
consultor junior,consultant
consultor organizacional,consultant
consultor responsable,consultant
consultor turismo,consultant
consultor urbanismo,consultant
gestor pymes,consultant
analista asesor,consultant analyst
analista consultor,consultant analyst
analista funcional consultor,consultant analyst
consultor analista funcional,consultant analyst
consultor analista sistemas,consultant analyst
arquitecto consultor estructuras,consultant architect
consultor auditor calidad,consultant auditor
consultor sig,consultant designer
consultor desarrollador,consultant developer
