mid,data_id
analyst programmer,programador analista
analyst programmer,programador analista programador
analyst programmer,responsable analista programador
analyst software engineer,ingeniero analista
analytics manager,director analista
android developer,desarrollador android
android developer,desarrollador aplicaciones android
android developer,desarrollador aplicaciones moviles android
android developer,desarrollador web android
android developer,desarrollo android
anesthesiological physician,adjunto anestesia
anesthesiology resident,residente anestesia
animator,animador
animator,animador modelador
animator,animador polivalente
animator,animador social
animator,animadora polivalente
animator illustrator,ilustrador animador
animator illustrator,ilustradora animadora
application analyst,analista de aplicaciones
application developer,desarollador de aplicaciones
application developer,desarrollador aplicaciones multiplataforma
application developer,desarrollador de aplicaciones
application development,desarrollo aplicacion web
application engineer,ingeniero de aplicaciones
application manager,administrador de aplicaciones
application manager,director aplicaciones
application programmer,programador de aplicaciones
applications analyst,analista programador aplicaciones web
applications analyst,analista programador de aplicaciones
applications developer,desarrollador aplicaciones informaticas
applications developer,desarrollador apps
applications developer,desarrolladora aplicaciones
applications development manager,desarrollo aplicaciones informaticas
applications development manager,desarrollo aplicaciones moviles
applications development manager,responsable desarrollo aplicaciones
applications development manager,tecnico superior desarrollo aplicaciones informaticas
applications support,tecnico soporte aplicaciones
apprentice,aprendiz
apprentice,aprendiz delineante
apprentice,aprendiz fontaneria
apprentice,aprendiz mantenimiento
apprentice manager,aprendiz encargado
approved electrician,electricista oficial segunda
architect,arquitecto
architect,arquitecto departamento
architect,arquitecto redactor
architect,arquitecto tecnico administrador
architect director,arquitecto director
architect director,arquitecto superior
architect project leader,arquitecto director obras
architect urban designer,arquitecto urbanista
architectural consultant,arquitecto coloborador
architectural designer,arquitecto proyectista
architectural manager,arquitecto gerente
archivist,archivero
archivist,archivero en practicas
area development manager,responsable area desarrollo
area manager,director area servicios
area manager,encargado de area
area manager,gerente area
area manager,jefe de area
area sales manager,facultativo area aparato digestivo
army officer,oficial ejercito
art consultant,asesor de arte
art director,director arte
art director,director de arte
art teacher,profesor de arte
artist,artista
artist assistant,asistente artista
artist director,director arte vestuario
artist sculptor,escultor
artist teacher,artista docente
assembler,ensamblador
assembler,montador cubiertas
assembler,montador equipos
assembler,montador muebles
assembler,oficial montador soldador
assembly engineer,ingeniero montaje
assembly fitter,montador ajustador
assembly manager,director montaje
assembly manager,director montajes
assembly manager,encargado montaje
assembly manager,encargado montajes
assembly manager,jefe montaje
assembly manager,oficial montajes
assembly operator,operario cadena montaje
assembly operator,operario de cadena de montaje
assembly operator,operario de linea de montaje
assembly worker,oficial montador
assembly worker,operario de montaje
assessment manager,gestor pyme
assessor verifier,grabador verificador datos
asset manager,gestor de activos
asset manager,gestor de patrimonio
assistance coordinator,coordinador asistencia
assistant,asistente
assistant,asistente consejero delegado
assistant,asistente establecimiento
assistant,asistente firmas
assistant,asistente judicial
assistant,asistente junior
assistant,asistente planta
assistant,asistente polivalente
assistant,asistente procurador
assistant,asistente responsable
assistant,asistente rodaje
assistant,asistente seleccion
assistant,auxiliar
assistant,auxiliar audiovisual
assistant,auxiliar judicial
assistant,auxiliar juegos
assistant,auxiliar medio ambiente
assistant,auxiliar reponedor
assistant,auxiliar reposicion
assistant,auxiliar reservas
assistant,ayudante
assistant,ayudante archivos
assistant,ayudante de maquinas
assistant,ayudante fontaneria
assistant,ayudante gabinete
assistant,ayudante inspector
assistant,ayudante jefe planta
assistant,ayudante procurador
assistant,ayudante responsable
assistant,ayudante script
assistant account executive,asistente ejecutivo cuentas
assistant account executive,asistente ejecutivo de cuentas
assistant account executive,ayudante ejecutivo cuentas
assistant accountant,auxiliar contable
assistant administrator,administrador adjunto
assistant advisor,asistente gestor
assistant advisor,ayudante asesor
assistant agent,agente auxiliar
assistant art director,asistente director arte
assistant auditor,auditor asistente
assistant chief engineer,ayudante jefe
assistant coach,entrenador asistente
assistant consultant,asistente consultor
assistant consultant,auxiliar consulta
assistant consultant,ayudante consultor
assistant consultant,consultor auxiliar
assistant coordinator,asistente coordinador
assistant coordinator,coordinador adjunto
assistant designer,desarrollador auxiliar diseno web
assistant director,asistente director
assistant director operations,asistente director operaciones
assistant director sales,asistente director ventas
assistant editor,asistente editor
assistant editor,ayudante editor
assistant editor,ayudante produccion redaccion
assistant editor,redactor adjunto
assistant engineer,asistente ingeniero
assistant executive director,asistente director ejecutivo
assistant general manager,asistente gerente general
assistant manager,adjunto gerencia
assistant manager,asistente encargado
assistant manager,ayudante jefe unidad
assistant manager,encargado adjunto
assistant office manager,sudirector de oficina
assistant operator,ayudante operador
assistant pastry chef,ayudante pasteleria
assistant president,asistente de presidente
assistant private banker,asistente banca
assistant private banker,auxiliar bancario
assistant professor,profesor ayudante
assistant professor,profesor ayudante facultad
assistant professor,profesora ayudante universitaria
assistant relationship manager,asistente relaciones
assistant secretary,ayudante secretario
assistant section manager,ayudante de seccion
assistant store manager,adjunto director tienda
assistant store manager,ayudante jefe almacen
assistant supervisor,asistente supervisor
assistant supervisor,ayudante supervisor
assistant teacher,maestro auxiliar
assistant teacher,profesor asistente
assistant teacher,profesor auxiliar
assistant technical officer,ayudante jefe oficina tecnico
associate,asociados
associate,colaborador asociado
associate attorney,abogado asociado principal
associate consultant,consultor asociado
associate creative director,director creativo asociado
associate director,director asociado
associate editor,editor asociado
associate engineer,ingeniero asociado
associate lawyer,abogado asociado
associate manager,adjunta jefe
associate manager,adjunta jefe tienda
associate manager,jefe asociado
associate professor,profesor adjunto
associate professor,profesor asociado
associate professor,profesor asociado asistencial
associate solicitor,tramitador siniestros diversos
attorney,abogado
attorney,apoderado
attorney,procurador
attorney law notary public,notario
audit administrator,administrativo auditoria
audit assistant,asistente de auditoria
audit consultant,asesor auditor
audit consultant,asesor fiscal auditor
audit consultant,consultor auditor formador
audit consultant,consultor auditora
audit director,director de auditoria
audit manager,auditor gerente
audit manager,auditor jefe calidad medio ambiente
audit manager,auditor jefe equipo
audit manager,auditor jefe sistemas gestion
auditor,auditor
auditor,auditor cuentas roac
auditor,auditor mercado
auditor,auditor riesgos tecnologicos
auditor,interventor adjunto
auditor,interventor delegado
auditor consultant,consultor auditor
author,autor
authorized officer,agente autorizado
automation engineer,ingeniero automatismos
automation engineer,ingeniero automatizacion industrial
automotive consultant,asesor de automocion
automotive consultant,consultor de automocion
automotive engineer,automocion
automotive engineer,ingeniero calidad automocion
automotive engineer,jefe automocion
automotive technician,profesor tecnico automocion
automotive technician,tecnico automocion
automotive technician,tecnico automovilistico
auxiliary nurse,auxiliar ayuda domiciliaria
auxiliary nurse,auxiliar enfermeria administrativo
auxiliary nurse,auxiliar enfermeria ayuda domicilio
auxiliary nurse,auxiliar sanitario
auxiliary nurse,tecnico auxiliar de cuidados de enfermeria
bailiff,agentee judicial
baker,hornero
baker,oficial panadero
baker,panadero
baker,panadero pastelero
baker,pastelero
bank clerk,auxiliar administrativo de banca
bank employee,cajero entidad bancaria
bank employee,empleado banca practicas
bank employee,empleado de banca
bank employee,empleado oficina bancaria
bank manager,gestor activos bancarios
bank manager,responsable banca
bank manager,subdirector entidad bancaria
bank officer,operador banca
bank officer,operario banca
bank officer,operativo banca
banker,banquero
banker,cajero oficina bancaria
banking advisor,asesor de banca
banking analyst,analista banca
banking analyst,analista funcional banca
banking consultant,consultor banca
banking consultant,consultor banca privada
banking manager,cajero banca gestor
banking manager,directivo banca
banking manager,gerente banca corporativa
banking manager,gestor banca minorista
banking manager,gestor bancario
banking manager,gestor de banca
banking officer,administrativo de banca
banking officer,oficial banca
banquet coordinator,coordinador de banquetes
banquet server,camarero de banquete
bar manager,encargado de barra
bar restaurant manager,hostelero
bar waiter,camarero de barra
bartender,camarero encargado barra
bartender waiter,camarero / jefe de barra
bartender waiter,camarero bar copas
bartender waiter,camarero barman
bartender waiter,camarero barra sala
bartender waiter,camarero barra sala terraza
bartender waiter,camarero comedor barra
bartender waiter,camarero mesa barra
bartender waiter,camarero sala barra
bartender waiter,pinche cocina camarero
basketball coach,entrenador de baloncesto
basketball coach,entrenador superior baloncesto
bass guitarist,bajista
beekeeper,apicultor
benefits administrator,administrativo prestaciones
benefits manager,responsable prestaciones
bi project manager,jefe proyecto bi
bid coordinator,administrativo licitaciones
bid manager,responsable ofertas
billing administrator,administrador bi
blogger,bloguero
board member,miembro pleno
booking agent,agente de reservas
booking agent,agente de reservas individuales
booking manager,responsable departamento reservas
bookseller,librero
bookseller,vendedor libros
box office assistant,auxiliar taquilla
box office assistant,taquillero
branch administrator,administrativo sucursal bancaria
branch director,director de sucursal
branch director,director sucursales
branch manager,encargado de sucursal
branch manager,gerente sucursal
branch manager,gestor sucursal
branch manager,jefe de sucursal
brand development manager,responsable de diseno y desarrollo
brand director,director de marca
brand manager,jefe de marca
brand manager,responsable marca
broadcast assistant,ayudante reparto
broker,bolsista
broker,corredor plaza
broker,operador de mercado
budget analyst,analista presupuesto
budget controller,controller presupuestario
budget controller,gestion presupuestos
budget officer,tecnico estudios presupuestos
budget officer,tecnico gestion presupuestaria
build technician,tecnico edificacion
building engineer,aparejador
building maintenance,oficial mantenimiento edificios
building maintenance manager,encargado de mantenimiento de edificios
building services,jefe obras servicios
building services,peon servicios
building surveyor,jefe edificacion civil
building surveyor,tecnico de estudios de obras
building surveyor,tecnico estudios edificacion
buildings manager,conserje edificios
bus driver,conductor autobuses
business advisor,asesor de negocio
business advisor,asesor mercantil
business advisor,asesor servicios comerciales
business agent,administrativo pymes
business analyst,analista negocio
business analyst,analista negocios
business analyst project manager,analista funcional jefe proyecto
business consultant,consultor empresarial
business consultant,consultor negocio
business consultant,consultoria negocio
business controller,controller de negocio
business coordinator,coordinador actividades empresariales
business coordinator,coordinador negocios
business developer,desarrollador de negocio
business developer,desarrollador negocios
business development,desarrollo de negocio
business development,desarrollo de negoico
business development advisor,asesor desarrollo empresarial
business development analyst,analista desarrollo negocio
business development assistant,asistente de desarrollo de negocio
business development consultant,consultor desarrollo empresarial
business development consultant,consultor desarrollo negocio
business development consultant,consultoria desarrollo negocio
business development director,director de desarrollo de negocio
business development director,director desarrollo de negocio
business development director,director desarrollo negocios
business development director,director negocio inmobiliario
business development director,director unidad promocion desarrollo
business development executive,ejecutivo desarrollo empresarial
business development executive,ejecutivo desarrollo negocio
business development management,gestion desarrollo negocio
business development manager,gerente desarrollo empresarial
business development manager,gerente desarrollo negocio
business development manager,gerente desarrollo negocios
business development manager,responsable desarrollo empresarial
business director,director area negocio
business director,director de negocio
business director,director empresarial
business director,director linea negocio
business english teacher,profesor ingles empresarial
business executive,ejecutivo negocio
business expert,perito mercantil
business lawyer,abogado departamento mercantil
business lawyer,abogado mercantil
business lawyer,abogado mercantilista
business line manager,responsable linea negocio
business manager,empresario gerente
business manager,encargado establecimiento
business manager,encargado negocio
business manager,gerente empresarial
business manager,gerente negocio
business manager,gestor captacion negocio
business manager,gestor comercios
business manager,gestor empresarial
business manager,jefe de negocio
business manager,jefe empresarial
business manager,responsable comerciales
business manager,responsable negocio
business manager,responsable negocios
business officer,oficial negocios
business owner,empresario
business owner,propietario comercio
business process analyst,analista procesos negocio
business strategist,consultor estrategia empresarial
business strategist,estrategia desarrollo negocio
business team leader,jefe equipo comerciales
business team leader,jefe equipos comerciales
business travel consultant,asesor transporte
business travel consultant,consultor de viajes de empresa
business unit director,director unidad negocio
business unit head,jefe unidad negocio
business unit head,jefe unidad negocios
business unit manager,gerente unidad empresarial
business unit manager,gerente unidad negocio
business unit manager,gestor unidad negocio
butcher,carnicero
cabin crew,tripulante de cabina
cabin crew,tripulante de cabina de pasajeros
cabinet member,jefe gabinete presidente
cad designer,proyectista cad
calculation engineer,ingeniero calculista
camera operator,operador camara
camera operator editor,operador camara editor videos
camera operator video editor,editor video operador camara
camera operator video editor,operador camara editor video
camera operator video editor,realizador operador camara editor video
campaign manager,gestor de campanas
campaigns coordinator,coordinador de la campana de la declaracion de la renta
captain,patron embarcaciones
car mechanic,mecanico automovil
car mechanic,mecanico automoviles
car mechanic,mecanico de coches
care assistant,asistente personas mayores
care support worker,trabajador apoyo
career coach,orientadora laboral programa orienta
career counselor,abogado asesor
career counselor,consejero venta
career counselor,orientador laboral
career counselor,orientadora laboral
carer,cuidador
carer,cuidador de personas discapacitadas
carer,cuidador personas dependientes
carer,cuidador tecnico servicios asistenciales
carpenter,carpintero
carpenter,carpintero montador
carpenter,carpintero naval
carpenter,ebanista
carpenter,encargado carpinteria
carpenter,oficial ebanista
carpenter foreman,oficial carpintero
carpenter kitchen fitter,montador muebles cocina
cartoonist,dibujante
cashier,cajero
cashier,cajero asesor
cashier,cajero comercio
cashier,cajero de panaderia
cashier,cajero jefe
cashier,cajero oficina
cashier,cajero reponedor
cashier,cajero responsable
cashier,cajero restaurante
cashier,cajero sucursal
cashier,tecnico cajeros
cashier supervisor,cajero encargado
catering,auxiliar catering
catering manager,coordinador catering
catering manager,encargado catering
catering manager,jefe catering
census collector,agente censal
ceo,ceo
ceo,director general propietaria
ceo,presidente ejecutivo
ceo,presidente gerente
ceo chief executive officer,jefe de gabinete de presidencia
ceo managing director,consejero delegado
ceramic artist,ceramista
certification engineer,certificaciones energeticas
certified personal trainer,entrenador personal certificado
cfo,director financiero
change manager,gestor cambio
change manager,gestor de cambios
channel director,director canales
chef,chef
chef,chef cocina
chef,jefe de cocina
chef,jefe de codina
chef brigade,jefe brigada incendios forestales
chef manager,gerente cocinero
chef owner,cocinero propietario
chef sommelier,sumiller
chief accountant,jefe contable
chief administrative officer,jefe departamento administrativo
chief architect,arquitecto tecnico jefe
chief business officer,director general de negocio
chief communications officer,jefe de comunicacion
chief cook,cocinero jefe cocina
chief cook,jefe cocina chef
chief cook,jefe cocina cocinero
chief designer,jefe de diseno
chief designer,jefe proyectista
chief development officer,jefe seleccion desarrollo
chief director,director jefe
chief engineer,ingeniero caminos jefe
chief engineer,ingeniero jefe
chief engineer,ingeniero jefe obras
chief engineer,jefe de maquinaria
chief engineer,jefe de maquinas
chief executive officer,jefe de ejecucion
chief financial officer,jefe de finanzas
chief financial officer,jefe financiero
chief human resources officer,jefe seccion recursos humanos
chief human resources officer,jefe servicio recursos humanos
chief information officer,redactor jefe informativos
chief information security officer,jefe de mantenimiento y seguridad
chief inspector,inspector construcciones soldadas
chief manager,gerente jefe
chief manager,jefe equipo encargado
chief mechanic,jefe mecanica
chief mechanic,jefe mecanico
chief medical officer,jefe seccion nefrologia
chief office,jefe de gabinete
chief officer,oficial jefe
chief operating officer director,director de oficina en zaragoza
chief operations officer,jefe de operaciones
chief procurement officer,jefe compras aprovisionamiento
chief procurement officer,jefe compras aprovisionamientos
chief quality officer,jefe departamento calidad
chief resident,jefe residentes
chief section,jefe seccion aparato digestivo
chief section,jefe seccion obras
chief section,jefe seccion personal
chief section,jefe seccion ventas
chief security officer,jefe seguridad delegado
chief software architect,jefe software
chief technical officer,jefe gabinete tecnico
chief technical officer,jefe oficina tecnico jefe
chief technical officer,jefe tecnico sonido
chief technician,jefe dto tecnico
chief technician,jefe oficina tecnico jefe produccion
chief technician,jefe responsable tecnico
chief technology officer,jefe de tecnologi
child adolescent psychotherapist,psicologo infanto juvenil adultos
childcare assistant,auxiliar infantil
childminder,cuidador infantil
chinese teacher,profesor de chino
chiropractor,quiromasajista deportivo
chiropractor,terapeuta quiromasajista
city councillor,delegado de ciudad
civil engineer,ingeniero caminos canales puertos
civil engineer,ingeniero de caminos
civil engineering,ingeniero caminos canales puertos civil
civil servant,funcionario
claims adjuster,oficial ajustador
claims handler,tramitador de siniestros
claims manager,gestor de reclamaciones
claims manager,responsable departamento aduanas
claims manager,responsable reclamaciones
claims officer,agente de reclamaciones
cleaner,camarero limpiador
cleaner,cuidadora limpiadora
cleaner,limpiador
cleaner,limpiadora
cleaner,limpiadora hogar
clerical,administrtivo
clerk,administrativo general
clerk,asesor de belleza / dependiente
clerk,dependiente de panaderia
client services administrator,administrador servicios
client services administrator,administrativo servicios
clinical administrator,administrativo clinica
clinical lead,jefe clinico
clinical manager,encargado clinica
clinical supervisor,tecnico superior imagen diagnostico clinico
clinical trials,ensayos clinicos
close protection,jefe de cierre
cnc turner,tornero
cnc turner,tornero fresador
coach,entrenador
coach educator,entrenador educador
cognitive therapist,entrenador cognitivo
collaborator,colaborador de departamento
collaborator,colaborador experto
collaborator,colaborador tertuliano
collaborator,coloborador habitual
collaborator,intermediador laboral
collection manager,jefe cobros
collections manager,gestor de cobros y pagos
collections manager,gestor recobro
collections manager,responsable cuentas cobrar
collections manager,responsable departamento de cobros
collector,captador
collector,cobrador
columnist,articulista
columnist,columnista
commander,comandante
commerce administrator,administrativo de comercio
commercial advisor,asesor fiscal mercantil
commercial coordinator,coordinador de equipos comerciales
commercial manager,jefe sector de comercio
commercial operations,responsable operaciones comerciales
commissioning engineer,ingeniero puesta marcha
communication coordinator,coordinador de comunicacion
communications advisor,asesor comunicaciones
communications assistant,asistente comunicaciones
communications consultant,consultor de comunicaciones
communications engineer,ingeniero de comunicaciones
communications lead,responsable comunicaciones seguridad
communications lead,responsable departamento comunicaciones
communications lead,responsable redes comunicaciones
communications manager,director comunicaciones corporativas
communications manager,encargado comunicaciones
communications manager,gestor comunicaciones
communications officer,oficial comunicaciones
communications systems operator,tecnico comunicaciones sistemas
communications technician,tecnico comunicaciones redes
communications technician,tecnico de comunicaciones
communications technician,tecnico informatico de comunicaciones
community manager,responsable de comunidad
community nurse,enfermero enfermeria familiar comunitaria
community nurse,enfermero familiar comunitaria
community officer,oficial unidad movil
company director,director empresa
company director,director negocio empresa
company secretary,secretario departamento compras
computer network engineer,ingeniero de diseno asistido de ordenador
computer programmer,programador de aplicaciones informaticas
computer science,formador aplicaciones informaticas
computer service,becario colaboracion servicios informaticos
computer support,mantenimiento equipos informaticos
computer support,soporte informatico
computer technician,informatico
computer technician,tecnico administrativo informatico
computer technician,tecnico informatico
computer technician,tecnico informatico mantenimiento
computer technician,tecnico informatico vendedor
computer technician,vendedor tecnico informatico
conference & events coordinator,azafato imagen ferias congresos
conference events coordinator,coordinador de eventos y congresos
conference organiser,organizador congresos
conservator,conservador restaurador bienes culturales
conservator,conservador restaurador obras arte
conservator,conservadora restauradora obras arte
construction coordinator,coordinador obras
construction manager,director de obra
construction manager,encargado de construccion
construction manager,gerente construcciones
construction manager,gerente empresa constructora
construction manager,jefe de obra
construction manager,responsable de obra
construction supervisor,administrativo del sector de la construccion
construction supervisor,jefe de construccion
construction worker,ayudante construccion
construction worker,trabajador construccion
consultancy,consultoria
consultant,asesor dental
consultant,asesor lactancia
consultant,consultor
consultant,consultor administrativo
consultant,consultor becario
consultant,consultor contenidos
consultant,consultor departamento
consultant,consultor europeos
consultant,consultor genero
consultant,consultor junior
consultant,consultor organizacional
consultant,consultor responsable
consultant,consultor turismo
consultant,consultor urbanismo
consultant,gestor pymes
consultant analyst,analista asesor
consultant analyst,analista consultor
consultant analyst,analista funcional consultor
consultant analyst,consultor analista funcional
consultant analyst,consultor analista sistemas
consultant architect,arquitecto consultor estructuras
consultant auditor,consultor auditor calidad
consultant designer,consultor sig
consultant developer,consultor desarrollador
